Country,Province_State,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,Last_Update
India,Manipur,138631,2126,4484.198030434621,1.5335675281863363,2022-07-26 04:20:58
India,Meghalaya,94881,1601,2818.211250746277,1.6873768193842813,2022-07-26 04:20:58
India,Mizoram,231911,708,18713.90944801831,0.30528952917282925,2022-07-26 04:20:58
India,Nagaland,35709,767,1587.281831537164,2.1479178918479933,2022-07-26 04:20:58
India,Odisha,1307249,9133,2820.0008223255963,0.6986427222357791,2022-07-26 04:20:58
India,Puducherry,170179,1965,12039.189497022371,1.1546665569782406,2022-07-26 04:20:58
India,Punjab,770977,17806,2557.869543633596,2.3095371197843777,2022-07-26 04:20:58
India,Rajasthan,1292705,9577,1595.2882916177198,0.7408496137943305,2022-07-26 04:20:58
India,Sikkim,41256,468,5976.956208683508,1.1343804537521816,2022-07-26 04:20:58
India,Tamil Nadu,3534246,38032,4540.324350064857,1.0760993999851736,2022-07-26 04:20:58
India,Telangana,814884,4111,2070.1916726715003,0.5044889824809421,2022-07-26 04:20:58
India,Tripura,105258,927,2524.2973633709485,0.8806931539645443,2022-07-26 04:20:58
India,Unknown,0,0,,,2022-07-26 04:20:58
India,Uttar Pradesh,2099660,23560,882.645009216201,1.12208643304154,2022-07-26 04:20:58
India,Uttarakhand,441220,7705,3921.656463889243,1.746294365622592,2022-07-26 04:20:58
India,West Bengal,2086483,21327,2094.6668003489594,1.022150671728454,2022-07-26 04:20:58
Indonesia,Indonesia,6172390,156916,2256.620462040461,2.5422243247753302,2022-07-26 04:20:58
Iran,Iran,7337928,141717,8736.36148975498,1.9312945016631398,2022-07-26 04:20:58
Iraq,Iraq,2432786,25293,6048.320762136558,1.0396722112014785,2022-07-26 04:20:58
Ireland,Ireland,1639459,7620,33202.24245797113,0.46478746952500793,2022-07-26 04:20:58
Israel,Israel,4557774,11300,52657.297793401936,0.24792804557663456,2022-07-26 04:20:58
Italy,Abruzzo,494242,3438,37682.947284954025,0.6956106522715593,2022-07-26 04:20:58
Italy,Basilicata,167105,961,29688.08017496078,0.5750875198228659,2022-07-26 04:20:58
Italy,Calabria,482724,2785,24791.552288983123,0.5769342315691782,2022-07-26 04:20:58
Italy,Campania,2075279,10807,35770.23737213213,0.5207492582924995,2022-07-26 04:20:58
Italy,Emilia-Romagna,1731920,17377,38836.84118115196,1.0033373365975333,2022-07-26 04:20:58
Italy,Friuli Venezia Giulia,443924,5220,36530.34018531624,1.1758769519106873,2022-07-26 04:20:58
Italy,Lazio,1924976,11680,32742.798960790136,0.6067608115633649,2022-07-26 04:20:58
Italy,Liguria,524936,5408,33852.860754269204,1.0302208269198532,2022-07-26 04:20:58
Italy,Lombardia,3324260,41333,33042.448671417755,1.2433744652945318,2022-07-26 04:20:58
Italy,Marche,562206,3992,36859.41711341788,0.7100600135893249,2022-07-26 04:20:58
Italy,Molise,80458,648,26326.415088165908,0.8053891471326655,2022-07-26 04:20:58
